method_id,method,method_family,method_scope,axis_correspondence,axis_missingness,axis_granularity,axis_prior_knowledge,axis_latent_design,axis_architecture,axis_application_level,axis_supervision,source_table,source_docx_table_index,source_docx_row_index,data_pairedness,data_missingness,method_integration_level,method_uncertainty,method_prior_knowledge,application_primary_task,supervision,application_tasks,needs_curation,curation_notes
jive,JIVE,Deterministic,analytical,paired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,2,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
snf,SNF,Deterministic,analytical,paired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,3,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
mowgli,Mowgli,Deterministic,analytical,paired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,4,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
jsnmfup,JSNMFuP,Deterministic,analytical,paired,none,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,5,paired,none,single,no,structure,Discovery,not_explicit_in_table,Discovery,no,
grmec-sc,GRMEC-SC,Deterministic,analytical,paired,none,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,6,paired,none,single,no,structure,Discovery,not_explicit_in_table,Discovery,no,
scmnmf,scMNMF,Deterministic,analytical,paired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,7,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
grackle,GRACKLE,Deterministic,analytical,paired,none,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,8,paired,none,single,no,structure,Discovery,not_explicit_in_table,Discovery,no,
cops,COPS,Deterministic,analytical,paired,none,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,9,paired,none,single,no,structure,Discovery,not_explicit_in_table,Discovery,no,
gaudi,GAUDI,Deterministic,analytical,paired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,10,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
uinmf,UINMF,Deterministic,analytical,partial,partial,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,11,partial,partial,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
multifac,MULTIFAC,Deterministic,analytical,paired,partial,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,12,paired,partial,single,no,none,Discovery + Imputation,not_explicit_in_table,Discovery;Imputation,no,
maxfuse,MaxFuse,Deterministic,analytical,unpaired,modality,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,13,unpaired,modality,single,no,structure,Alignment,not_explicit_in_table,Alignment,no,
simo,SIMO,Deterministic,analytical,unpaired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,14,unpaired,none,single,no,none,Alignment,not_explicit_in_table,Alignment,no,
fgot,FGOT,Deterministic,analytical,unpaired,none,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,15,unpaired,none,single,no,structure,Alignment + Discovery,not_explicit_in_table,Alignment;Discovery,no,
grotia,GROTIA,Deterministic,analytical,unpaired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,16,unpaired,none,single,no,none,Alignment,not_explicit_in_table,Alignment,no,
moscot,moscot,Deterministic,analytical,unpaired,none,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,17,unpaired,none,single,no,none,Alignment,not_explicit_in_table,Alignment,no,
mofa,MOFA+,Probabilistic,analytical,paired,partial,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,19,paired,partial,single,yes,none,Discovery,not_explicit_in_table,Discovery,no,
muvi,MuVI,Probabilistic,analytical,paired,partial,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,20,paired,partial,single,yes,structure,Discovery,not_explicit_in_table,Discovery,no,
mefisto,MEFISTO,Probabilistic,analytical,paired,partial,single-level,supervision,structured,white-box,general-purpose,supervised_labels,Supplementary Table 1,1,21,paired,partial,single,yes,supervision,Discovery,supervised_labels,Discovery,no,
sofa,SOFA,Probabilistic,analytical,paired,partial,single-level,supervision,structured,white-box,general-purpose,supervised_labels,Supplementary Table 1,1,22,paired,partial,single,yes,supervision,Discovery,supervised_labels,Discovery,no,
spear,SPEAR,Probabilistic,analytical,paired,none,single-level,supervision,structured,white-box,application-driven,supervised_labels,Supplementary Table 1,1,23,paired,none,single,yes,supervision,Discovery + Prediction,supervised_labels,Discovery;Prediction,no,
jafar,JAFAR,Probabilistic,analytical,paired,none,single-level,supervision,structured,white-box,general-purpose,supervised_labels,Supplementary Table 1,1,24,paired,none,single,yes,supervision,Discovery,supervised_labels,Discovery,no,
bsf-bsfp,BSF/BSFP,Probabilistic,analytical,paired,none,single-level,supervision,structured,white-box,application-driven,supervised_labels,Supplementary Table 1,1,25,paired,none,single,yes,supervision,Prediction,supervised_labels,Prediction,no,
noisebfash,NoiseBFASH,Probabilistic,analytical,paired,none,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,26,paired,none,single,yes,structure,Discovery,not_explicit_in_table,Discovery,no,
factm,FACTM,Probabilistic,analytical,paired,none,multi-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,27,paired,none,multi,yes,none,Discovery,not_explicit_in_table,Discovery,no,
iimpact,iIMPACT,Probabilistic,analytical,paired,none,single-level,structure,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,28,paired,none,single,no,structure,Discovery,not_explicit_in_table,Discovery,no,
mofa,MOFA,Probabilistic,analytical,paired,partial,single-level,none,structured,white-box,general-purpose,not_explicit_in_table,Supplementary Table 1,1,29,paired,partial,single,yes,none,Discovery,not_explicit_in_table,Discovery,no,
clonealign,clonealign,Probabilistic,analytical,unpaired,partial,single-level,structure,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,30,unpaired,partial,single,yes,structure,Phylogenetic analysis,not_explicit_in_table,Phylogenetic analysis,no,
treealign,TreeAlign,Probabilistic,analytical,unpaired,partial,single-level,structure,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,31,unpaired,partial,single,yes,structure,Phylogenetic analysis,not_explicit_in_table,Phylogenetic analysis,no,
phylex,PhylEx,Probabilistic,analytical,unpaired,none,single-level,structure,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,32,unpaired,none,single,yes,structure,Phylogenetic analysis,not_explicit_in_table,Phylogenetic analysis,no,
cactus,CACTUS,Probabilistic,analytical,paired,none,single-level,structure,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,33,paired,none,single,yes,structure,Phylogenetic analysis,not_explicit_in_table,Phylogenetic analysis,no,
caclust,CaClust,Probabilistic,analytical,paired,none,single-level,structure,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,34,paired,none,single,yes,structure,Phylogenetic analysis,not_explicit_in_table,Phylogenetic analysis,no,
tumoroscope,Tumoroscope,Probabilistic,analytical,paired,none,single-level,structure,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,35,paired,none,single,yes,structure,Spatial phylogenetic analysis,not_explicit_in_table,Spatial phylogenetic analysis,no,
cell2location,cell2location,Probabilistic,analytical,unpaired,partial,single-level,none,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,36,unpaired,partial,single,yes,none,Spatial deconvolution,not_explicit_in_table,Spatial deconvolution,no,
bayesprism,BayesPrism,Probabilistic,analytical,unpaired,none,single-level,none,structured,white-box,application-driven,not_explicit_in_table,Supplementary Table 1,1,37,unpaired,none,single,yes,none,Bulk deconvolution,not_explicit_in_table,Bulk deconvolution,no,
totalvi,TotalVI,VAE / Representation learning,deep_learning,partial,modality,single-level,soft,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,2,partial,modality,single,yes,soft,Discovery+Imputation,not_explicit_in_table,Discovery;Imputation,no,
poe-vae,PoE-VAE,VAE / Representation learning,deep_learning,partial,modality,single-level,soft,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,3,partial,modality,single,yes,soft,Discovery+Imputation,not_explicit_in_table,Discovery;Imputation,no,
midas,MIDAS,VAE / Representation learning,deep_learning,partial,modality,single-level,soft,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,4,partial,modality,single,yes,soft,Discovery+Imputation,not_explicit_in_table,Discovery;Imputation,no,
multivi,MultiVI,VAE / Representation learning,deep_learning,partial,modality,single-level,soft,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,5,partial,modality,single,yes,soft,Discovery,not_explicit_in_table,Discovery,no,
glue,GLUE,VAE / Representation learning,deep_learning,unpaired,modality,single-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,6,unpaired,modality,single,yes,structure,Alignment+Discovery,not_explicit_in_table,Alignment;Discovery,no,
monae,Monae,VAE / Representation learning,deep_learning,unpaired,modality,single-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,7,unpaired,modality,single,no,structure,Discovery+Alignment,not_explicit_in_table,Discovery;Alignment,no,
gimvi,gimVI,VAE / Representation learning,deep_learning,unpaired,modality,single-level,soft,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,8,unpaired,modality,single,yes,soft,Imputation,not_explicit_in_table,Imputation,no,
networkvi,NetworkVI,VAE / Representation learning,deep_learning,partial,modality,single-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,9,partial,modality,single,yes,structure,Discovery,not_explicit_in_table,Discovery,no,
sccross,scCross,VAE / Representation learning,deep_learning,partial,modality,single-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,10,partial,modality,single,no,structure,Imputation+Generation,not_explicit_in_table,Imputation;Generation,no,
drvi,DRVI,VAE / Representation learning,deep_learning,paired,none,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,11,paired,none,single,yes,none,Discovery,not_explicit_in_table,Discovery,no,
moetm,moETM,VAE / Representation learning,deep_learning,paired,partial,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,12,paired,partial,single,yes,none,Discovery,not_explicit_in_table,Discovery,no,
convnet-vae,ConvNet-VAE,VAE / Representation learning,deep_learning,paired,none,single-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,13,paired,none,single,yes,structure,Discovery,not_explicit_in_table,Discovery,no,
envi,ENVI,VAE / Representation learning,deep_learning,paired,none,single-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,14,paired,none,single,yes,structure,Imputation+Discovery,not_explicit_in_table,Imputation;Discovery,no,
spatecv,SpateCV,VAE / Representation learning,deep_learning,paired,none,single-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,15,paired,none,single,yes,structure,Discovery,not_explicit_in_table,Discovery,no,
spamultivae,SpaMultiVAE,VAE / Representation learning,deep_learning,partial,partial,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,16,partial,partial,single,yes,none,Discovery+Imputation,not_explicit_in_table,Discovery;Imputation,no,
spatialglue,SpatialGlue,VAE / Representation learning,deep_learning,paired,none,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,17,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
convirt,ConVIRT,Foundation models,deep_learning,paired,none,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,19,paired,none,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
titan,TITAN,Foundation models,deep_learning,paired,none,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,20,paired,none,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
mstar,mSTAR,Foundation models,deep_learning,paired,partial,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,21,paired,partial,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
mmp,MMP,Foundation models,deep_learning,paired,none,multi-level,soft,unstructured,black-box,application-driven,not_explicit_in_table,Supplementary Table 2,2,22,paired,none,multi,no,soft,Prediction,not_explicit_in_table,Prediction,no,
kronos,KRONOS,Foundation models,deep_learning,partial,partial,multi-level,soft,unstructured,black-box,application-driven,not_explicit_in_table,Supplementary Table 2,2,23,partial,partial,multi,no,soft,Prediction,not_explicit_in_table,Prediction,no,
virtues,VirTues,Foundation models,deep_learning,partial,modality,multi-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,24,partial,modality,multi,no,structure,Discovery+Imputation,not_explicit_in_table,Discovery;Imputation,no,
rosie,ROSIE,Foundation models,deep_learning,paired,generative,multi-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,25,paired,generative,multi,no,none,Imputation,not_explicit_in_table,Imputation,no,
virtualmpx,VirtualMPX,Foundation models,deep_learning,unpaired,generative,multi-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,26,unpaired,generative,multi,no,structure,Imputation,not_explicit_in_table,Imputation,no,
alphagenome,AlphaGenome,Foundation models,deep_learning,paired,none,single-level,none,unstructured,black-box,application-driven,not_explicit_in_table,Supplementary Table 2,2,27,paired,none,single,no,none,Prediction,not_explicit_in_table,Prediction,no,
abmil,ABMIL,MIL,deep_learning,paired,none,multi-level,none,unstructured,black-box,application-driven,not_explicit_in_table,Supplementary Table 2,2,29,paired,none,multi,no,none,Prediction,not_explicit_in_table,Prediction,no,
transmil,TransMIL,MIL,deep_learning,paired,none,multi-level,none,unstructured,black-box,application-driven,not_explicit_in_table,Supplementary Table 2,2,30,paired,none,multi,no,none,Prediction,not_explicit_in_table,Prediction,no,
clam,CLAM,MIL,deep_learning,paired,none,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,31,paired,none,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
mmp,MMP,MIL,deep_learning,paired,none,multi-level,soft,unstructured,black-box,application-driven,not_explicit_in_table,Supplementary Table 2,2,32,paired,none,multi,no,soft,Prediction,not_explicit_in_table,Prediction,no,
m2ef-nns,M2EF-NNs,MIL,deep_learning,paired,none,multi-level,none,unstructured,black-box,application-driven,not_explicit_in_table,Supplementary Table 2,2,33,paired,none,multi,yes,none,Prediction,not_explicit_in_table,Prediction,no,
mixmil,MixMIL,MIL,deep_learning,paired,none,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,34,paired,none,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
mmsurv,MMSurv,MIL,deep_learning,paired,none,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,35,paired,none,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
mpathnet,MPathNet,MIL,deep_learning,paired,none,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,36,paired,none,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
camil,CAMIL,MIL,deep_learning,paired,none,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,Supplementary Table 2,2,37,paired,none,,,,,to_be_curated,,yes,missing axis values
pathograph,PathoGraph,MIL,deep_learning,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,Supplementary Table 2,2,38,,,,,,,to_be_curated,,yes,missing axis values
scmdcl,scMDCL,Contrastive learning,deep_learning,paired,none,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,40,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
scgcm,scGCM,Contrastive learning,deep_learning,paired,partial,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,41,paired,partial,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
eclare,ECLARE,Contrastive learning,deep_learning,unpaired,modality,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,42,unpaired,modality,single,no,none,Alignment,not_explicit_in_table,Alignment,no,
concord,CONCORD,Contrastive learning,deep_learning,paired,none,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,43,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
tacos,Tacos,Contrastive learning,deep_learning,unpaired,none,multi-level,structure,structured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,44,unpaired,none,multi,no,structure,Discovery,not_explicit_in_table,Discovery,no,
pathomclip,PathOmCLIP,Contrastive learning,deep_learning,paired,none,multi-level,supervision,unstructured,black-box,application-driven,supervised_labels,Supplementary Table 2,2,45,paired,none,multi,no,supervision,Prediction,supervised_labels,Prediction,no,
sducl,SDUCL,Contrastive learning,deep_learning,paired,none,single-level,none,unstructured,black-box,general-purpose,not_explicit_in_table,Supplementary Table 2,2,46,paired,none,single,no,none,Discovery,not_explicit_in_table,Discovery,no,
carhe,CarHE,Contrastive learning,deep_learning,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,Supplementary Table 2,2,47,,,,,,,to_be_curated,,yes,missing axis values
scconcept,scConcept,Contrastive learning,deep_learning,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,to_be_curated,Supplementary Table 2,2,48,,,,,,,to_be_curated,,yes,missing axis values
